position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
467/801,SRX16217014,success,designated_clustering_2/SRX16217014_clustered.h5ad,2026-05-19 18:30:57,,0.1,26,50.29298663139343,6,6,0,12,5,194,20616,1.0816270372043169
488/801,SRX22996314,success,designated_clustering_2/SRX22996314_clustered.h5ad,2026-05-19 18:30:57,,0.9,16,50.394950062036514,17,14,3,25,17,104,2785,8.094248821546932
484/801,SRX21897873,success,designated_clustering_2/SRX21897873_clustered.h5ad,2026-05-19 18:31:12,,0.1,50,42.22448244690895,2,2,0,9,3,658,7149,0.8511930393260615
481/801,SRX21808832,success,designated_clustering_2/SRX21808832_clustered.h5ad,2026-05-19 18:31:20,,1.0,21,50.014856457710266,20,19,1,23,16,183,9883,5.66441703713825
483/801,SRX21808830,success,designated_clustering_2/SRX21808830_clustered.h5ad,2026-05-19 18:31:29,,0.5,30,50.17010048031807,10,10,0,19,14,235,10573,5.700222027096855
492/801,SRX22996350,success,designated_clustering_2/SRX22996350_clustered.h5ad,2026-05-19 18:31:55,,0.4,30,50.08023343980312,9,8,1,25,11,138,2951,5.555198957701132
490/801,SRX22996379,success,designated_clustering_2/SRX22996379_clustered.h5ad,2026-05-19 18:32:01,,0.5,19,50.21002031862736,15,14,1,25,17,700,3413,6.528063881368506
491/801,SRX22996390,success,designated_clustering_2/SRX22996390_clustered.h5ad,2026-05-19 18:32:02,,1.6,17,50.028773210942745,23,16,7,25,16,205,2675,6.649182243675451
482/801,SRX21808829,success,designated_clustering_2/SRX21808829_clustered.h5ad,2026-05-19 18:32:30,,0.1,23,50.27745142579079,10,10,0,21,16,117,11546,7.555623536267885
493/801,SRX23395186,success,designated_clustering_2/SRX23395186_clustered.h5ad,2026-05-19 18:32:52,,0.4,36,50.061387568712234,8,6,2,8,7,81,5301,1.5043280650718107
497/801,SRX22996396,success,designated_clustering_2/SRX22996396_clustered.h5ad,2026-05-19 18:33:20,,1.6,22,50.223301351070404,25,19,6,24,19,307,3215,8.955558263039359
496/801,SRX22996377,success,designated_clustering_2/SRX22996377_clustered.h5ad,2026-05-19 18:33:24,,0.7,36,50.08574426174164,13,11,2,25,10,152,4547,2.9684486009186637
494/801,SRX22996336,success,designated_clustering_2/SRX22996336_clustered.h5ad,2026-05-19 18:33:29,,1.6,48,50.00140517950058,22,13,9,23,9,162,6370,2.6756735941858567
498/801,SRX22996329,success,designated_clustering_2/SRX22996329_clustered.h5ad,2026-05-19 18:33:30,,1.0,22,50.393179059028625,22,19,3,26,17,658,2980,6.889969845762758
489/801,SRX23331462,success,designated_clustering_2/SRX23331462_clustered.h5ad,2026-05-19 18:33:45,,0.6,50,39.93346318602562,6,5,1,8,4,190,9519,2.002353186316793
495/801,SRX23395190,success,designated_clustering_2/SRX23395190_clustered.h5ad,2026-05-19 18:33:53,,0.5,30,50.30188709497452,7,6,1,8,6,56,7125,1.500589785575476
500/801,SRX25038172,success,designated_clustering_2/SRX25038172_clustered.h5ad,2026-05-19 18:34:18,,0.7,15,52.23013162612915,17,16,1,26,17,381,4393,7.437937865559785
505/801,SRX27291605,success,designated_clustering_2/SRX27291605_clustered.h5ad,2026-05-19 18:35:34,,0.7,24,50.168551877141,18,15,3,21,15,207,5327,7.261295490697163
501/801,SRX26735837,success,designated_clustering_2/SRX26735837_clustered.h5ad,2026-05-19 18:36:00,,0.1,50,36.02482154965401,3,3,0,6,3,1594,6940,1.2010149386556896
504/801,SRX27291592,success,designated_clustering_2/SRX27291592_clustered.h5ad,2026-05-19 18:36:20,,0.8,50,41.11228436231613,12,4,8,21,11,46,7865,1.6376350513611577
499/801,SRX24841616,success,designated_clustering_2/SRX24841616_clustered.h5ad,2026-05-19 18:36:31,,0.5,15,53.042423725128174,14,12,2,22,15,1983,9932,4.620696371665077
503/801,SRX27291594,success,designated_clustering_2/SRX27291594_clustered.h5ad,2026-05-19 18:37:17,,0.7,50,39.085931330919266,10,7,3,21,11,57,12314,1.854571066661545
