position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
97/116,SRX9246204,dry_run,cytetype_pipeline_20260522_175813/SRX9246204_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246204_cyteonto.csv,,,2026-05-26 11:11:01,,
98/116,SRX9246205,dry_run,cytetype_pipeline_20260522_175813/SRX9246205_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246205_cyteonto.csv,,,2026-05-26 11:11:01,,
99/116,SRX9246206,dry_run,cytetype_pipeline_20260522_175813/SRX9246206_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246206_cyteonto.csv,,,2026-05-26 11:11:01,,
100/116,SRX9246207,dry_run,cytetype_pipeline_20260522_175813/SRX9246207_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246207_cyteonto.csv,,,2026-05-26 11:11:01,,
101/116,SRX9246208,dry_run,cytetype_pipeline_20260522_175813/SRX9246208_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246208_cyteonto.csv,,,2026-05-26 11:11:01,,
102/116,SRX9276289,dry_run,cytetype_pipeline_20260522_175813/SRX9276289_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276289_cyteonto.csv,,,2026-05-26 11:11:01,,
103/116,SRX9276290,dry_run,cytetype_pipeline_20260522_175813/SRX9276290_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276290_cyteonto.csv,,,2026-05-26 11:11:01,,
104/116,SRX9276291,dry_run,cytetype_pipeline_20260522_175813/SRX9276291_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276291_cyteonto.csv,,,2026-05-26 11:11:01,,
105/116,SRX9276292,dry_run,cytetype_pipeline_20260522_175813/SRX9276292_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276292_cyteonto.csv,,,2026-05-26 11:11:01,,
106/116,SRX9276293,dry_run,cytetype_pipeline_20260522_175813/SRX9276293_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276293_cyteonto.csv,,,2026-05-26 11:11:01,,
107/116,SRX9276294,dry_run,cytetype_pipeline_20260522_175813/SRX9276294_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276294_cyteonto.csv,,,2026-05-26 11:11:01,,
108/116,SRX9276295,dry_run,cytetype_pipeline_20260522_175813/SRX9276295_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276295_cyteonto.csv,,,2026-05-26 11:11:01,,
109/116,SRX9276309,dry_run,cytetype_pipeline_20260522_175813/SRX9276309_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276309_cyteonto.csv,,,2026-05-26 11:11:01,,
110/116,SRX9276315,dry_run,cytetype_pipeline_20260522_175813/SRX9276315_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276315_cyteonto.csv,,,2026-05-26 11:11:01,,
111/116,SRX9276316,dry_run,cytetype_pipeline_20260522_175813/SRX9276316_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276316_cyteonto.csv,,,2026-05-26 11:11:01,,
112/116,SRX9276318,dry_run,cytetype_pipeline_20260522_175813/SRX9276318_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276318_cyteonto.csv,,,2026-05-26 11:11:01,,
113/116,SRX9276319,dry_run,cytetype_pipeline_20260522_175813/SRX9276319_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276319_cyteonto.csv,,,2026-05-26 11:11:01,,
114/116,SRX9276320,dry_run,cytetype_pipeline_20260522_175813/SRX9276320_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276320_cyteonto.csv,,,2026-05-26 11:11:01,,
115/116,SRX9276323,dry_run,cytetype_pipeline_20260522_175813/SRX9276323_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276323_cyteonto.csv,,,2026-05-26 11:11:01,,
116/116,SRX9276336,dry_run,cytetype_pipeline_20260522_175813/SRX9276336_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9276336_cyteonto.csv,,,2026-05-26 11:11:01,,
