srx_accession,file_path,obs_count,disease,diseaseLabel,medianGenesPerCell,medianUmisPerCell,nCellsForQc
SRX19704158,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704158.h5ad,14887,idiopathic pulmonary fibrosis,IPF / Pulmonary Fibrosis,1219.0,2662.0,14887
SRX9276309,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9276309.h5ad,2881,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1313.0,3409.0,2881
SRX17412828,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412828.h5ad,5783,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1310.0,2974.0,5783
SRX17412832,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412832.h5ad,4817,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1925.0,4810.0,4817
SRX17689209,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689209.h5ad,3460,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,2084.5,5925.0,3460
SRX19704159,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704159.h5ad,18023,idiopathic pulmonary fibrosis,IPF / Pulmonary Fibrosis,1311.0,3024.0,18023
SRX19844825,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844825.h5ad,1676,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,1897.0,4177.5,1676
SRX17412848,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17412848.h5ad,4625,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1612.0,3851.0,4625
SRX27113463,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27113463.h5ad,3449,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,1419.0,2760.0,3449
SRX9276323,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX9276323.h5ad,6333,idiopathic pulmonary fibrosis (IPF),IPF / Pulmonary Fibrosis,2153.0,6026.0,6333
SRX19704188,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704188.h5ad,10103,Idiopathic Pulmonary Fibrosis (IPF),IPF / Pulmonary Fibrosis,1047.0,2122.0,10103
