position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
23/116,SRX17412848,success,cytetype_pipeline_20260522_175813/SRX17412848_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412848_cyteonto.csv,run-051a20f7-3446-44b6-919d-d3e2c39cb037,output/cyteonto_pipeline/20260526_121155/results/SRX17412848_cyteonto.csv,2026-05-26 12:55:33,124.55,
24/116,SRX17412850,success,cytetype_pipeline_20260522_175813/SRX17412850_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412850_cyteonto.csv,run-4a441c45-a927-4d92-9d8d-a7a4d9fb6dbc,output/cyteonto_pipeline/20260526_121155/results/SRX17412850_cyteonto.csv,2026-05-26 12:57:17,103.95,
25/116,SRX17664572,success,cytetype_pipeline_20260522_175813/SRX17664572_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17664572_cyteonto.csv,run-49ca4a01-6e79-4976-b007-e5bae8d1d314,output/cyteonto_pipeline/20260526_121155/results/SRX17664572_cyteonto.csv,2026-05-26 12:59:03,106.08,
26/116,SRX17689200,success,cytetype_pipeline_20260522_175813/SRX17689200_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17689200_cyteonto.csv,run-5422332e-cdec-41b7-a73b-ba9d142a738b,output/cyteonto_pipeline/20260526_121155/results/SRX17689200_cyteonto.csv,2026-05-26 13:01:04,120.88,
27/116,SRX17689203,success,cytetype_pipeline_20260522_175813/SRX17689203_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17689203_cyteonto.csv,run-39c2f38d-b5bb-46bf-903b-57181963d728,output/cyteonto_pipeline/20260526_121155/results/SRX17689203_cyteonto.csv,2026-05-26 13:03:01,116.53,
28/116,SRX17689209,success,cytetype_pipeline_20260522_175813/SRX17689209_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17689209_cyteonto.csv,run-6b271133-a1f0-4cde-bc36-33b9aea9f92f,output/cyteonto_pipeline/20260526_121155/results/SRX17689209_cyteonto.csv,2026-05-26 13:04:55,114.10,
29/116,SRX17896691,success,cytetype_pipeline_20260522_175813/SRX17896691_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17896691_cyteonto.csv,run-ee255ce9-5614-4039-a5d1-4b1fc8876609,output/cyteonto_pipeline/20260526_121155/results/SRX17896691_cyteonto.csv,2026-05-26 13:06:53,117.87,
30/116,SRX19704158,success,cytetype_pipeline_20260522_175813/SRX19704158_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19704158_cyteonto.csv,run-0346010a-642a-403e-b639-6fe9e55cd0bb,output/cyteonto_pipeline/20260526_121155/results/SRX19704158_cyteonto.csv,2026-05-26 13:09:14,141.40,
31/116,SRX19704159,success,cytetype_pipeline_20260522_175813/SRX19704159_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19704159_cyteonto.csv,run-07d8cf48-c19f-4452-bbb3-38c853ec1bee,output/cyteonto_pipeline/20260526_121155/results/SRX19704159_cyteonto.csv,2026-05-26 13:11:48,154.54,
32/116,SRX19704188,success,cytetype_pipeline_20260522_175813/SRX19704188_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX19704188_cyteonto.csv,run-e6738208-5883-407e-b4f8-bcb766c4e6bd,output/cyteonto_pipeline/20260526_121155/results/SRX19704188_cyteonto.csv,2026-05-26 13:14:07,138.49,
