position,srx,status,r2_file,timestamp,error
282/801,SRX21203377,success,clustered_20260509/SRX21203377_clustered.h5ad,2026-05-09 22:52:24,
290/801,SRX22996311,success,clustered_20260509/SRX22996311_clustered.h5ad,2026-05-09 22:52:30,
288/801,SRX22226492,success,clustered_20260509/SRX22226492_clustered.h5ad,2026-05-09 22:52:35,
292/801,SRX22996364,success,clustered_20260509/SRX22996364_clustered.h5ad,2026-05-09 22:53:02,
291/801,SRX22996313,success,clustered_20260509/SRX22996313_clustered.h5ad,2026-05-09 22:53:05,
295/801,SRX22996391,success,clustered_20260509/SRX22996391_clustered.h5ad,2026-05-09 22:53:13,
297/801,SRX22996393,success,clustered_20260509/SRX22996393_clustered.h5ad,2026-05-09 22:53:14,
294/801,SRX22996380,success,clustered_20260509/SRX22996380_clustered.h5ad,2026-05-09 22:53:29,
298/801,SRX22996361,success,clustered_20260509/SRX22996361_clustered.h5ad,2026-05-09 22:53:33,
296/801,SRX22996381,success,clustered_20260509/SRX22996381_clustered.h5ad,2026-05-09 22:53:35,
280/801,SRX21808834,success,clustered_20260509/SRX21808834_clustered.h5ad,2026-05-09 22:53:40,
301/801,SRX22996363,success,clustered_20260509/SRX22996363_clustered.h5ad,2026-05-09 22:54:00,
299/801,SRX22996397,success,clustered_20260509/SRX22996397_clustered.h5ad,2026-05-09 22:54:05,
300/801,SRX22996353,success,clustered_20260509/SRX22996353_clustered.h5ad,2026-05-09 22:54:07,
293/801,SRX23331472,success,clustered_20260509/SRX23331472_clustered.h5ad,2026-05-09 22:54:07,
305/801,SRX23395191,success,clustered_20260509/SRX23395191_clustered.h5ad,2026-05-09 22:54:17,
303/801,SRX22996354,success,clustered_20260509/SRX22996354_clustered.h5ad,2026-05-09 22:54:23,
310/801,SRX22996349,success,clustered_20260509/SRX22996349_clustered.h5ad,2026-05-09 22:54:54,
312/801,SRX22996347,success,clustered_20260509/SRX22996347_clustered.h5ad,2026-05-09 22:55:16,
306/801,SRX22996368,success,clustered_20260509/SRX22996368_clustered.h5ad,2026-05-09 22:55:27,
309/801,SRX21256826,success,clustered_20260509/SRX21256826_clustered.h5ad,2026-05-09 22:55:31,
311/801,SRX22996345,success,clustered_20260509/SRX22996345_clustered.h5ad,2026-05-09 22:55:33,
302/801,SRX23395179,success,clustered_20260509/SRX23395179_clustered.h5ad,2026-05-09 22:55:48,
308/801,SRX22996367,success,clustered_20260509/SRX22996367_clustered.h5ad,2026-05-09 22:55:56,
304/801,SRX23331471,success,clustered_20260509/SRX23331471_clustered.h5ad,2026-05-09 22:56:04,
314/801,SRX22996371,success,clustered_20260509/SRX22996371_clustered.h5ad,2026-05-09 22:56:04,
313/801,SRX23395192,success,clustered_20260509/SRX23395192_clustered.h5ad,2026-05-09 22:56:05,
316/801,SRX22996395,success,clustered_20260509/SRX22996395_clustered.h5ad,2026-05-09 22:56:07,
317/801,SRX22996394,success,clustered_20260509/SRX22996394_clustered.h5ad,2026-05-09 22:56:17,
318/801,SRX22996358,success,clustered_20260509/SRX22996358_clustered.h5ad,2026-05-09 22:56:44,
315/801,SRX22996376,success,clustered_20260509/SRX22996376_clustered.h5ad,2026-05-09 22:56:45,
319/801,SRX22996359,success,clustered_20260509/SRX22996359_clustered.h5ad,2026-05-09 22:56:45,
307/801,SRX23395185,success,clustered_20260509/SRX23395185_clustered.h5ad,2026-05-09 22:56:47,
321/801,SRX22996365,success,clustered_20260509/SRX22996365_clustered.h5ad,2026-05-09 22:56:54,
270/801,SRX19704145,success,clustered_20260509/SRX19704145_clustered.h5ad,2026-05-09 22:57:01,
320/801,SRX22996355,success,clustered_20260509/SRX22996355_clustered.h5ad,2026-05-09 22:57:17,
325/801,SRX23395184,success,clustered_20260509/SRX23395184_clustered.h5ad,2026-05-09 22:57:18,
328/801,SRX17412852,success,clustered_20260509/SRX17412852_clustered.h5ad,2026-05-09 22:57:25,
326/801,SRX22996387,success,clustered_20260509/SRX22996387_clustered.h5ad,2026-05-09 22:57:33,
327/801,SRX22996386,success,clustered_20260509/SRX22996386_clustered.h5ad,2026-05-09 22:57:34,
324/801,SRX22996337,success,clustered_20260509/SRX22996337_clustered.h5ad,2026-05-09 22:57:35,
323/801,SRX23395188,success,clustered_20260509/SRX23395188_clustered.h5ad,2026-05-09 22:57:58,
331/801,SRX25038164,success,clustered_20260509/SRX25038164_clustered.h5ad,2026-05-09 22:58:11,
329/801,SRX25038161,success,clustered_20260509/SRX25038161_clustered.h5ad,2026-05-09 22:58:16,
330/801,SRX25038162,success,clustered_20260509/SRX25038162_clustered.h5ad,2026-05-09 22:58:19,
332/801,SRX25038165,success,clustered_20260509/SRX25038165_clustered.h5ad,2026-05-09 22:58:45,
322/801,SRX23331463,success,clustered_20260509/SRX23331463_clustered.h5ad,2026-05-09 22:58:45,
334/801,SRX25038169,success,clustered_20260509/SRX25038169_clustered.h5ad,2026-05-09 22:59:00,
339/801,SRX22996330,success,clustered_20260509/SRX22996330_clustered.h5ad,2026-05-09 22:59:07,
340/801,SRX22996327,success,clustered_20260509/SRX22996327_clustered.h5ad,2026-05-09 22:59:12,
335/801,SRX25038171,success,clustered_20260509/SRX25038171_clustered.h5ad,2026-05-09 22:59:14,
338/801,ERX11876759,success,clustered_20260509/ERX11876759_clustered.h5ad,2026-05-09 22:59:27,
343/801,SRX22996319,success,clustered_20260509/SRX22996319_clustered.h5ad,2026-05-09 22:59:56,
342/801,SRX22996342,success,clustered_20260509/SRX22996342_clustered.h5ad,2026-05-09 23:00:04,
344/801,SRX22996318,success,clustered_20260509/SRX22996318_clustered.h5ad,2026-05-09 23:00:16,
346/801,SRX26487585,success,clustered_20260509/SRX26487585_clustered.h5ad,2026-05-09 23:00:21,
348/801,SRX26487581,success,clustered_20260509/SRX26487581_clustered.h5ad,2026-05-09 23:00:28,
347/801,SRX26487593,success,clustered_20260509/SRX26487593_clustered.h5ad,2026-05-09 23:00:29,
345/801,SRX22996338,success,clustered_20260509/SRX22996338_clustered.h5ad,2026-05-09 23:00:29,
341/801,SRX22996315,success,clustered_20260509/SRX22996315_clustered.h5ad,2026-05-09 23:00:29,
336/801,SRX24841614,success,clustered_20260509/SRX24841614_clustered.h5ad,2026-05-09 23:00:37,
350/801,SRX26487595,success,clustered_20260509/SRX26487595_clustered.h5ad,2026-05-09 23:00:52,
354/801,SRX26487582,success,clustered_20260509/SRX26487582_clustered.h5ad,2026-05-09 23:01:15,
356/801,SRX26487573,success,clustered_20260509/SRX26487573_clustered.h5ad,2026-05-09 23:01:21,
359/801,SRX26487584,success,clustered_20260509/SRX26487584_clustered.h5ad,2026-05-09 23:01:55,
358/801,SRX26487568,success,clustered_20260509/SRX26487568_clustered.h5ad,2026-05-09 23:01:56,
351/801,SRX26487569,success,clustered_20260509/SRX26487569_clustered.h5ad,2026-05-09 23:01:59,
333/801,SRX25038167,success,clustered_20260509/SRX25038167_clustered.h5ad,2026-05-09 23:02:03,
353/801,SRX26487598,success,clustered_20260509/SRX26487598_clustered.h5ad,2026-05-09 23:02:05,
355/801,SRX24841617,success,clustered_20260509/SRX24841617_clustered.h5ad,2026-05-09 23:02:21,
360/801,SRX26487587,success,clustered_20260509/SRX26487587_clustered.h5ad,2026-05-09 23:02:33,
357/801,SRX24841618,success,clustered_20260509/SRX24841618_clustered.h5ad,2026-05-09 23:02:35,
352/801,SRX26487586,success,clustered_20260509/SRX26487586_clustered.h5ad,2026-05-09 23:02:46,
366/801,SRX11987912,success,clustered_20260509/SRX11987912_clustered.h5ad,2026-05-09 23:02:59,
367/801,SRX12571167,success,clustered_20260509/SRX12571167_clustered.h5ad,2026-05-09 23:03:37,
370/801,SRX12571169,failed,,2026-05-09 23:03:40,"ValueError: Found array with 0 sample(s) (shape=(0, 318)) while a minimum of 1 is required."
371/801,SRX12708374,failed,,2026-05-09 23:03:42,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required."
372/801,SRX12708376,failed,,2026-05-09 23:03:43,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required."
363/801,SRX26487594,success,clustered_20260509/SRX26487594_clustered.h5ad,2026-05-09 23:03:46,
362/801,SRX26487592,success,clustered_20260509/SRX26487592_clustered.h5ad,2026-05-09 23:04:02,
369/801,SRX11987906,success,clustered_20260509/SRX11987906_clustered.h5ad,2026-05-09 23:04:03,
337/801,SRX24841615,success,clustered_20260509/SRX24841615_clustered.h5ad,2026-05-09 23:04:19,
375/801,SRX12708356,success,clustered_20260509/SRX12708356_clustered.h5ad,2026-05-09 23:04:26,
365/801,SRX10957183,success,clustered_20260509/SRX10957183_clustered.h5ad,2026-05-09 23:04:30,
373/801,SRX11987908,success,clustered_20260509/SRX11987908_clustered.h5ad,2026-05-09 23:04:34,
364/801,SRX11143430,success,clustered_20260509/SRX11143430_clustered.h5ad,2026-05-09 23:04:44,
378/801,SRX11987902,success,clustered_20260509/SRX11987902_clustered.h5ad,2026-05-09 23:04:59,
379/801,SRX11987892,success,clustered_20260509/SRX11987892_clustered.h5ad,2026-05-09 23:05:00,
368/801,ERX11876752,success,clustered_20260509/ERX11876752_clustered.h5ad,2026-05-09 23:05:08,
380/801,SRX11987909,success,clustered_20260509/SRX11987909_clustered.h5ad,2026-05-09 23:05:26,
