srx,"CD4-positive, alpha-beta T cell",natural killer cell,B cell,lung multiciliated epithelial cell,"CD8-positive, alpha-beta T cell",plasma cell,intermediate monocyte,pulmonary alveolar type 2 cell,club cell,pulmonary alveolar type 1 cell,capillary endothelial cell,respiratory tract goblet cell,endothelial cell of lymphatic vessel,classical monocyte,basophil,macrophage,basal cell,,endothelial cell of artery,bronchial smooth muscle cell,monocyte,vein endothelial cell,mature NK T cell,adventitial cell,pericyte,neutrophil,alveolar adventitial fibroblast,endothelial cell,smooth muscle cell,fibroblast,erythrocyte,mast cell,sebocyte,T cell,melanocyte,"naive thymus-derived CD4-positive, alpha-beta T cell",hematopoietic precursor cell,non-classical monocyte,platelet
SRX22996322,1.0619821945917116,,0.991459604994241,4.183846235041319,3.109997975012327,,1.561150395416679,,4.132862907220768,,,3.399779401900723,,1.4743564680779406,5.114571981148341,1.3032617523697303,2.028300448169654,,5.051267749916964,4.472494519169658,,5.434032441941333,,4.457077750319361,5.18633255178383,,,,,,,,,,,,,,
SRX24732577,0.5122965043354183,3.640594558597069,0.7781552522323223,5.468310534446162,1.9852414766930173,1.2294994755883466,,3.217954723270642,,4.905043494539296,1.9624676145401907,,,,5.284805447378708,1.7781113851676724,,,,,,,,,,2.635375412779391,,,,,,,,,,,,,
SRX22996369,0.7455542019393178,,1.1027349610500266,,0.7840337953381407,3.785092879451947,5.11910074236463,,,,,8.404502961226878,,5.11910074236463,7.868450060986668,5.11910074236463,,,,,,,,,,,,,,,,,,,,,,,
SRX22159982,0.01972342219943542,,0.004228307060787677,,,0.016487572692858925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX10425169,1.7181564375926086,4.416005780559267,1.3573835545227668,5.877126402722261,3.0044465535674783,1.9260824204389821,3.264158426915686,4.090477284805523,,5.246080779116955,2.9961875344048696,,6.263464646339241,3.4479765857146925,4.2319564230386195,1.9371308939244567,,,3.0259566956708936,5.226396400619976,,4.022338172357439,3.7068987611770687,4.791006533353826,5.094248421906196,,4.950773000478114,,,,,,,,,,,,
ERX11662359,1.353333511059576,4.540657102990486,2.206044570354803,4.550498105246193,2.4183029579764574,3.2938262249810957,2.1303094238548,3.02287491728872,3.349120381303534,3.057796571948451,2.280578095255802,4.923018410638291,6.1349130009652075,2.375251149239983,6.178576406056444,0.9410753464682735,4.03614026142837,2.642884174753289,5.205573988803498,,2.5158588539767925,5.266997887231439,3.7080192480544305,6.854455413376009,,,7.665583075756973,,,,,,,,,,,,
SRX22996382,3.4903893895132656,,1.7933387786876036,5.84799690655495,4.298195521763324,0.9681509517038901,,2.6755895278585746,2.9829080989891654,,3.386169993607073,2.403097083821534,5.7964047324121255,,,4.070422772535088,2.4871923411866588,,3.7948855700953876,0.8041330685916225,,3.7948855700953876,,0.8609172413696302,1.1876907891149502,,,,,,,,,,,,,,
SRX22996352,0.9112892925695593,1.5099860448144382,0.7973453299009601,4.178659799471971,1.15185060368598,1.979403654363288,3.042272042354282,5.025914698750793,,,,,,3.0480390712373295,5.582308047275179,4.37032530666021,,,,,,,1.2974254834561525,,,,,,,,,,,,,,,,
SRX20221194,2.9575024344131333,1.5322923488978084,1.1218515151321817,,1.5887288097886494,2.0736325645421494,4.288890608388586,,,,,,,,4.609121773645636,3.5855917716268926,,,,1.251220735477576,,,1.61304281999715,0.9109026195387325,3.0111812273913663,4.984459149104222,0.6707150911564985,,,,,,,,,,,,
SRX22996373,2.3035464513587547,,0.7824389224496379,4.8306455720438235,3.862264329271395,1.3865713584989197,,2.1409329521707234,2.4015509765616034,,1.4195221347644844,1.8727792964502656,,,4.9249729545919765,2.878994533072223,,,3.2096138166151453,,,3.2096138166151453,,5.384688858953769,6.113012542590524,,,,,,,,,,,,,,
