gene,nDiseaseAreas,nClusters,meanLog2FoldChange,direction,geneSymbol,biotype
ENSG00000042062,2,4,-1.3353369932359067,down,RIPOR3,protein_coding
ENSG00000043039,2,8,1.8398056597453603,up,BARX2,protein_coding
ENSG00000046604,2,3,0.9961982242209586,up,DSG2,protein_coding
ENSG00000046653,2,4,-1.1153982240748848,down,GPM6B,protein_coding
ENSG00000047457,2,6,1.1982653366148255,up,CP,protein_coding
ENSG00000049089,2,5,0.8273187485986092,up,COL9A2,protein_coding
ENSG00000049249,2,3,1.1386926375870374,up,TNFRSF9,protein_coding
ENSG00000049283,2,2,1.7743115892672505,up,EPN3,protein_coding
ENSG00000049768,2,3,0.7453244003909918,up,FOXP3,protein_coding
ENSG00000051128,2,2,1.3840612997827955,up,HOMER3,protein_coding
ENSG00000053108,2,3,-0.6014493207403384,down,FSTL4,protein_coding
ENSG00000054356,2,1,1.4077036600606938,up,PTPRN,protein_coding
ENSG00000056998,2,2,1.5032007236787912,up,GYG2,protein_coding
ENSG00000057149,2,4,2.0897692101475713,up,SERPINB3,protein_coding
ENSG00000060982,2,5,1.44188744808046,up,BCAT1,protein_coding
ENSG00000062524,2,2,-1.7028051332568883,down,LTK,protein_coding
ENSG00000063438,2,5,-1.3494556322871716,down,AHRR,protein_coding
ENSG00000064201,2,3,-1.225389614500997,down,TSPAN32,protein_coding
ENSG00000064205,2,16,-1.6223253199034333,down,CCN5,protein_coding
ENSG00000064309,2,2,1.6116395385327449,up,CDON,protein_coding
ENSG00000064655,2,7,1.596586264660394,up,EYA2,protein_coding
ENSG00000064787,2,5,1.6180797581622424,up,BCAS1,protein_coding
ENSG00000064989,2,8,-1.2956464722226178,down,CALCRL,protein_coding
ENSG00000066382,2,2,1.1496100656225243,up,MPPED2,protein_coding
ENSG00000066405,2,18,-1.6322965200956652,down,CLDN18,protein_coding
ENSG00000066468,2,2,1.2066085569096687,up,FGFR2,protein_coding
ENSG00000067798,2,3,-1.3313753281486307,down,NAV3,protein_coding
ENSG00000067840,2,4,-1.346100665024722,down,PDZD4,protein_coding
ENSG00000068078,2,1,1.8063706475133237,up,FGFR3,protein_coding
ENSG00000069188,2,2,1.232976034504461,up,SDK2,protein_coding
ENSG00000069702,2,3,-1.0433139910787854,down,TGFBR3,protein_coding
ENSG00000069764,2,2,1.4234875615802103,up,PLA2G10,protein_coding
ENSG00000070031,2,2,2.1235107950632135,up,SCT,protein_coding
ENSG00000070404,2,3,-0.4079891881386601,down,FSTL3,protein_coding
ENSG00000070526,2,4,1.6848444235267896,up,ST6GALNAC1,protein_coding
ENSG00000072163,2,3,-1.1195301278873773,down,LIMS2,protein_coding
ENSG00000072657,2,3,-1.3460340203699677,down,TRHDE,protein_coding
ENSG00000073849,2,2,1.389430400827403,up,ST6GAL1,protein_coding
