cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
34,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,intermediate monocyte,0.23035632169088416
34,IPF / Pulmonary Fibrosis,6,114,55,26105,15019,True,unresolved,unresolved,intermediate monocyte,0.23035632169088416
34,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,intermediate monocyte,0.23035632169088416
34,Lung Cancer,5,33,26,6534,10694,True,unresolved,unresolved,intermediate monocyte,0.23035632169088416
34,Pulmonary Hypertension,1,3,3,146,2396,True,unresolved,unresolved,intermediate monocyte,0.23035632169088416
35,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.654008717474574
35,IPF / Pulmonary Fibrosis,1,19,23,5263,8743,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.654008717474574
35,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.654008717474574
36,COPD,1,1,1,41,50,False,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
36,COVID-19 / SARS-CoV-2,2,36,12,34417,11400,True,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
36,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
36,IPF / Pulmonary Fibrosis,8,127,69,94659,90668,True,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
36,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
36,Lung Cancer,5,43,26,23225,19244,True,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
36,Pulmonary Hypertension,2,6,6,18184,21898,True,unresolved,unresolved,capillary endothelial cell,0.5106695796181501
38,COPD,1,1,1,52,37,False,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
38,COVID-19 / SARS-CoV-2,2,33,11,14671,2733,True,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
38,Cystic Fibrosis,1,3,1,115,10,False,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
38,IPF / Pulmonary Fibrosis,6,73,58,14998,31628,True,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
38,Interstitial Lung Disease,0,0,0,0,0,False,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
38,Lung Cancer,4,12,12,536,2179,True,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
38,Pulmonary Hypertension,0,0,0,0,0,False,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246
39,COPD,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.34792641705668226
39,COVID-19 / SARS-CoV-2,2,26,5,7220,130,True,unresolved,unresolved,respiratory tract goblet cell,0.34792641705668226
39,Lung Cancer,1,1,1,16,670,False,unresolved,unresolved,respiratory tract goblet cell,0.34792641705668226
4,COPD,1,1,1,260,333,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
4,COVID-19 / SARS-CoV-2,3,39,13,15853,4702,True,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
4,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
4,IPF / Pulmonary Fibrosis,6,92,47,17502,8105,True,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
4,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
4,Lung Cancer,5,51,31,12761,23126,True,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
4,Pulmonary Hypertension,1,3,3,426,1378,True,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.3564027053004402
41,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.5454545454545454
43,COPD,1,1,1,40,45,False,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
43,COVID-19 / SARS-CoV-2,5,43,20,34352,23297,True,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
43,Cystic Fibrosis,2,23,5,6665,2946,True,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
43,IPF / Pulmonary Fibrosis,6,116,52,54086,23779,True,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
43,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
43,Lung Cancer,3,11,10,2859,3022,True,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
43,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.5897388630462579
44,COPD,0,0,0,0,0,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
44,COVID-19 / SARS-CoV-2,5,41,16,22251,9891,True,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
44,Cystic Fibrosis,2,22,5,12213,3596,True,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
44,IPF / Pulmonary Fibrosis,7,125,53,63832,12671,True,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9470456921642318
