gene,geneSymbol,biotype,cluster,diseaseArea,log2FoldChange,padj,caseDetection,controlDetection,detectionDelta,nStudies,interpretedCellType,interpretationStatus,topSourceLabel,topSourceLabelFraction,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,direction
ENSG00000267855,NDUFA7,protein_coding,38,Lung Cancer,1.24867998585681,0.03178200122902619,0.4074188114722023,0.17727789189355003,0.2301409195786523,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,33,0.9055464661251281,unresolved,basal cell,0.4132281553398058,1.453044605741464,gain
ENSG00000149256,TENM4,protein_coding,14,Lung Cancer,1.2217396117849104,3.477082713497862e-08,0.41978617612269903,0.1899495869427885,0.22983658917991054,5,unresolved,unresolved,adventitial cell,0.2762481434936593,15,0.5933734939759037,unresolved,basal cell,0.9969879518072288,3.133884473831772,gain
ENSG00000113657,DPYSL3,protein_coding,14,IPF / Pulmonary Fibrosis,1.106099762041631,5.536115524675474e-26,0.505446342025847,0.27632015590552905,0.229126186120318,9,unresolved,unresolved,adventitial cell,0.2762481434936593,33,0.806626293579867,unresolved,basal cell,0.4132281553398058,3.133884473831772,gain
ENSG00000175600,SUGCT,protein_coding,14,Lung Cancer,1.5651972590244425,5.518601325888932e-10,0.39828131773783143,0.16939331043200428,0.22888800730582715,5,unresolved,unresolved,adventitial cell,0.2762481434936593,33,0.5834336654615372,unresolved,basal cell,0.4132281553398058,3.133884473831772,gain
ENSG00000119655,NPC2,protein_coding,38,Lung Cancer,2.458822295089587,2.0936880070830977e-05,0.40785039739017853,0.17897541806720232,0.2288749793229762,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,70,0.9977324263038548,unresolved,pulmonary alveolar type 2 cell,0.9787946428571428,1.453044605741464,gain
ENSG00000189171,S100A13,protein_coding,38,Lung Cancer,1.5676252929964596,0.0030717469124179005,0.4131086884856521,0.1842580417935731,0.22885064669207897,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,15,0.9959839357429718,unresolved,basal cell,0.9969879518072288,1.453044605741464,gain
ENSG00000168528,SERINC2,protein_coding,8,Lung Cancer,1.3588042731925867,0.0098078349727452,0.4072816337184237,0.17861367058486285,0.22866796313356083,5,unresolved,unresolved,pulmonary alveolar type 2 cell,0.4269116066862419,15,0.9728915662650602,unresolved,basal cell,0.9969879518072288,2.672494945597188,gain
ENSG00000054148,PHPT1,protein_coding,38,Lung Cancer,1.1344550349488545,0.03986115392076938,0.4724636343618512,0.24403610653298977,0.22842752782886142,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,33,0.9367953871452575,unresolved,basal cell,0.4132281553398058,1.453044605741464,gain
ENSG00000164692,COL1A2,protein_coding,60,IPF / Pulmonary Fibrosis,1.031089404588225,2.048901591211484e-14,0.5080739060637846,0.2803118029021447,0.22776210316163986,9,unresolved,unresolved,pericyte,0.4226224591541113,18,0.8324101434843142,unresolved,B cell,0.2673611111111111,2.561506464532918,gain
ENSG00000163359,COL6A3,protein_coding,14,IPF / Pulmonary Fibrosis,1.020927732821771,2.7733147010626904e-22,0.7211654890590691,0.49344026087449094,0.22772522818457813,9,unresolved,unresolved,adventitial cell,0.2762481434936593,18,0.7295867516788197,unresolved,B cell,0.2673611111111111,3.133884473831772,gain
ENSG00000133110,POSTN,protein_coding,36,IPF / Pulmonary Fibrosis,1.6219266242973425,7.224486709648896e-20,0.37272158487312157,0.14505998615508078,0.2276615987180408,9,unresolved,unresolved,capillary endothelial cell,0.5106695796181501,18,0.6266200110654401,unresolved,B cell,0.2673611111111111,2.2547171867361704,gain
ENSG00000159403,C1R,protein_coding,31,Cystic Fibrosis,1.436224458968329,0.011685048354712277,0.5527034097844855,0.32509206490767056,0.22761134487681495,2,basal cell,resolved,basal cell,0.9368114823755128,32,0.716722135846818,unresolved,basal cell,0.2826359084406294,0.532808354671482,gain
ENSG00000198467,TPM2,protein_coding,14,Lung Cancer,1.2020958733747664,9.935258515687138e-09,0.6965588492459346,0.46917982413036363,0.22737902511557095,5,unresolved,unresolved,adventitial cell,0.2762481434936593,15,0.9116465863453816,unresolved,basal cell,0.9969879518072288,3.133884473831772,gain
ENSG00000137573,SULF1,protein_coding,14,Lung Cancer,1.13569770699876,0.0009208717804886378,0.5461982426148193,0.319434174588969,0.2267640680258503,5,unresolved,unresolved,adventitial cell,0.2762481434936593,32,0.6259937647500898,unresolved,basal cell,0.2826359084406294,3.133884473831772,gain
ENSG00000118785,SPP1,protein_coding,9,IPF / Pulmonary Fibrosis,3.106338659114141,2.892646382400326e-18,0.2718771461552327,0.04578092706579003,0.22609621908944263,8,macrophage,resolved,macrophage,0.7772301716343172,22,0.9976019184652278,unresolved,macrophage,0.4822222222222222,1.2326075899877131,gain
ENSG00000165215,CLDN3,protein_coding,38,Lung Cancer,1.4945737894393016,0.0023630483045454648,0.3839219161535549,0.15835095784035932,0.2255709583131956,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,33,0.7351187096253532,unresolved,basal cell,0.4132281553398058,1.453044605741464,gain
ENSG00000010278,CD9,protein_coding,26,IPF / Pulmonary Fibrosis,1.337671969161007,5.922350341750402e-29,0.5368827208359399,0.3114108244719818,0.2254718963639581,7,macrophage,resolved,macrophage,0.798202097552855,22,0.947242206235012,unresolved,macrophage,0.4822222222222222,1.289100572647915,gain
ENSG00000165949,IFI27,protein_coding,60,Lung Cancer,1.5026454820037654,0.00046914396126523206,0.42081096445533295,0.19550924052827523,0.22530172392705772,5,unresolved,unresolved,pericyte,0.4226224591541113,37,1.0,unresolved,endothelial cell of artery,0.96,2.561506464532918,gain
ENSG00000008517,IL32,protein_coding,60,Lung Cancer,1.5912937861233498,0.000986501169491611,0.29363384058797537,0.06879253386122856,0.2248413067267468,5,unresolved,unresolved,pericyte,0.4226224591541113,3,0.9271464097446019,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883,2.561506464532918,gain
ENSG00000065518,NDUFB4,protein_coding,38,Lung Cancer,1.1162734579334999,0.042848993561466674,0.4821167864399067,0.2575096549099745,0.22460713152993217,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,15,0.9267068273092369,unresolved,basal cell,0.9969879518072288,1.453044605741464,gain
ENSG00000110492,MDK,protein_coding,8,Lung Cancer,2.6306865462858737,8.85218026228845e-05,0.33491946618540125,0.11074288803584749,0.22417657814955377,5,unresolved,unresolved,pulmonary alveolar type 2 cell,0.4269116066862419,33,0.9352928231770907,unresolved,basal cell,0.4132281553398058,2.672494945597188,gain
ENSG00000163453,IGFBP7,protein_coding,7,IPF / Pulmonary Fibrosis,1.599993066070387,1.6515156810859105e-11,0.4620151267605403,0.23807841738137314,0.22393670937916715,6,unresolved,unresolved,macrophage,0.606973818225391,37,1.0,unresolved,endothelial cell of artery,0.96,2.122607699298922,gain
ENSG00000168461,RAB31,protein_coding,60,Lung Cancer,1.0404871201681216,1.2484867246566852e-05,0.39112780834396976,0.1677105498028893,0.22341725854108047,5,unresolved,unresolved,pericyte,0.4226224591541113,10,0.9357025419199024,macrophage,macrophage,0.9465301035906224,2.561506464532918,gain
ENSG00000128656,CHN1,protein_coding,14,Lung Cancer,1.5754435664792654,5.518601325888932e-10,0.3545247374419239,0.1311246719513696,0.22340006549055433,5,unresolved,unresolved,adventitial cell,0.2762481434936593,18,0.37187379986624935,unresolved,B cell,0.2673611111111111,3.133884473831772,gain
ENSG00000187608,ISG15,protein_coding,60,Lung Cancer,1.2944971348733618,0.0003017529374544507,0.44206948837421994,0.21880963785034604,0.2232598505238739,5,unresolved,unresolved,pericyte,0.4226224591541113,39,0.9340534111503701,unresolved,respiratory tract goblet cell,0.3479264170566822,2.561506464532918,gain
ENSG00000163453,IGFBP7,protein_coding,23,IPF / Pulmonary Fibrosis,2.157613739050912,0.0021896600017688814,0.4722117600485911,0.24992793394044194,0.22228382610814917,3,unresolved,unresolved,basal cell,0.4718010254172575,37,1.0,unresolved,endothelial cell of artery,0.96,1.8939286541819795,gain
