accession,r2Key,status,reason,studyAccession
SRX17896691,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17896691.h5ad,success,,PRJNA890673
SRX16217005,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217005.h5ad,success,,PRJNA858410
SRX17941758,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17941758.h5ad,skip,too_few_cells,
SRX16217016,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217016.h5ad,success,,PRJNA858410
SRX16217009,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217009.h5ad,success,,PRJNA858410
SRX12868714,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX12868714.h5ad,success,,PRJNA773987
SRX14891764,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14891764.h5ad,success,,PRJNA827791
SRX14891759,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14891759.h5ad,success,,PRJNA827791
SRX17150750,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17150750.h5ad,success,,PRJNA871210
SRX15263316,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263316.h5ad,success,,PRJNA837899
SRX16217017,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217017.h5ad,success,,PRJNA858410
SRX16217006,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217006.h5ad,success,,PRJNA858410
SRX16217004,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217004.h5ad,success,,PRJNA858410
SRX16217013,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217013.h5ad,success,,PRJNA858410
SRX14891761,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14891761.h5ad,success,,PRJNA827791
SRX17150749,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17150749.h5ad,success,,PRJNA871210
SRX16217015,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217015.h5ad,success,,PRJNA858410
SRX18248068,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248068.h5ad,success,,PRJNA901260
SRX18248066,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248066.h5ad,success,,PRJNA901260
SRX18248065,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248065.h5ad,success,,PRJNA901260
SRX18248062,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248062.h5ad,success,,PRJNA901260
SRX18248064,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248064.h5ad,success,,PRJNA901260
SRX15263318,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263318.h5ad,success,,PRJNA837899
SRX18248063,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248063.h5ad,success,,PRJNA901260
SRX14891765,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14891765.h5ad,success,,PRJNA827791
SRX16217002,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX16217002.h5ad,success,,PRJNA858410
SRX14891767,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX14891767.h5ad,success,,PRJNA827791
SRX15263315,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX15263315.h5ad,success,,PRJNA837899
SRX12868715,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX12868715.h5ad,success,,PRJNA773987
SRX12868717,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX12868717.h5ad,success,,PRJNA773987
SRX17035589,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17035589.h5ad,success,,PRJNA868764
SRX17137139,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17137139.h5ad,success,,PRJNA870911
ERX4409913,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX4409913.h5ad,success,,PRJEB39956
