position,srx,status,gs_uri,r2_key,md5,timestamp,error
908/1048,ERX9138842,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138842.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138842.h5ad,d00HoVFuxkaUqFJC2mxmrg==,2026-07-30 16:49:01,
909/1048,ERX9138752,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138752.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138752.h5ad,6EhPSRUsG6rPlRM3T5GRKw==,2026-07-30 16:49:03,
910/1048,ERX12558808,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558808.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558808.h5ad,I1q+nwDy6HHnd+LWJQL5Ew==,2026-07-30 16:49:05,
911/1048,SRX7347530,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX7347530.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX7347530.h5ad,ekDZHBMh0LNQ3MBC1u0SUg==,2026-07-30 16:49:13,
912/1048,ERX12558763,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558763.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558763.h5ad,1wlSSw6yDexGjmVA5t/9sQ==,2026-07-30 16:49:16,
913/1048,SRX6726373,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726373.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726373.h5ad,VS++nanrmWUv4hd7E9JqPA==,2026-07-30 16:49:26,
914/1048,ERX12558792,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558792.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558792.h5ad,9P9ouZKUwfDMBZP/0CKweQ==,2026-07-30 16:49:28,
915/1048,ERX9138816,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138816.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138816.h5ad,s6zEYR/lmjBsIOkrStNSUw==,2026-07-30 16:49:31,
916/1048,ERX12558758,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558758.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558758.h5ad,f5IS9AZeUyFD7UKEEkjviQ==,2026-07-30 16:49:34,
917/1048,ERX9138870,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138870.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138870.h5ad,j0+7KK10rYJ26xffmpIpzg==,2026-07-30 16:49:37,
918/1048,ERX12558757,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558757.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558757.h5ad,th6SyhluUjyAJKqVUvJI8w==,2026-07-30 16:49:44,
919/1048,ERX9138828,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138828.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138828.h5ad,FH5ewoWqndqItS7HdWnDBg==,2026-07-30 16:49:46,
920/1048,ERX12558760,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558760.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558760.h5ad,CBBdUoJLVSvjYNGGJAQeJA==,2026-07-30 16:49:52,
921/1048,ERX9138827,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138827.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138827.h5ad,2C9l6W+qIm57knKe/IWzxA==,2026-07-30 16:49:54,
922/1048,SRX5329392,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329392.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329392.h5ad,9b8eMyaPVjnHtq7J5Qreqw==,2026-07-30 16:49:59,
923/1048,SRX5329382,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329382.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329382.h5ad,iUMdGv7yxyOy8EjO2iXTxA==,2026-07-30 16:50:04,
924/1048,ERX12558800,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558800.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558800.h5ad,x/R0n/GRHyXwxvhucOhgJA==,2026-07-30 16:50:06,
925/1048,ERX9138876,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138876.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138876.h5ad,TcY4ExoOibPzzlRgIex1iw==,2026-07-30 16:50:13,
926/1048,SRX6726377,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726377.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726377.h5ad,xaCItvZ5aeHnjMvYaJjs1g==,2026-07-30 16:50:17,
927/1048,ERX9138819,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138819.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138819.h5ad,1JYWw3tfW9shZu34e/wFig==,2026-07-30 16:50:19,
928/1048,ERX12558789,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558789.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558789.h5ad,y9FgEO0tJRbMI8aXXT2z3g==,2026-07-30 16:50:21,
929/1048,ERX9138772,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138772.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138772.h5ad,E7O/xLVV9JiimlXgc2pW7w==,2026-07-30 16:50:29,
