srxAccession,studyAccession,diseaseRaw,diseaseArea,isControl,eligible,excludeReason
SRX17412845,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412846,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412847,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412848,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412849,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412850,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412851,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412852,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412853,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17412854,PRJNA563828,IPF IPF Cell Atlas,IPF / Pulmonary Fibrosis,False,True,
SRX17664572,PRJNA882878,snRNAseq of human vascular dementia white matter vs control,Other,False,False,non_lung
SRX17689197,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689198,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689199,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689200,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689201,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689203,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689204,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689205,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689208,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17689209,PRJNA883741,Normal Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,Control,True,True,
SRX17689210,PRJNA883741,IPF Single-Nucleus Chromatin Accessibility Identifies a Critical Role for TWIST1 in IPF Myofibroblast Activity,IPF / Pulmonary Fibrosis,False,True,
SRX17896691,PRJNA890673,"A distal lung organoid model to study interstitial lung disease, viral infection and human lung development.",Interstitial Lung Disease,False,False,excluded_sample_type
SRX17896694,PRJNA890673,"A distal lung organoid model to study interstitial lung disease, viral infection and human lung development.",Interstitial Lung Disease,False,False,excluded_sample_type
SRX18248062,PRJNA901260,Lung adenocarcinoma Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Control,True,True,
SRX18248063,PRJNA901260,Lung adenocarcinoma pT1bNo Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Lung Cancer,False,True,
SRX18248064,PRJNA901260,Lung adenocarcinoma Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Control,True,True,
SRX18248065,PRJNA901260,Lung adenocarcinoma pT3N2M0 Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Lung Cancer,False,True,
SRX18248066,PRJNA901260,Lung adenocarcinoma Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Control,True,True,
SRX18248067,PRJNA901260,Lung adenocarcinoma pT1bN0 Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Lung Cancer,False,True,
SRX18248068,PRJNA901260,Lung adenocarcinoma Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Control,True,True,
SRX18248069,PRJNA901260,Lung adenocarcinoma pT1bN0 Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Lung Cancer,False,True,
SRX18248070,PRJNA901260,Lung adenocarcinoma Single cell RNA sequencing of lung adenocarcinoma from current smoker.,Control,True,True,
SRX18965979,PRJNA919922,Single cell transcriptomic profile of human airway orgnaoids.,Other,False,False,excluded_sample_type
SRX19215444,PRJNA929481,Designing a single cell ATAC-Seq (scATAC-Seq) dataset to validate long read RNA-Seq isoforms and benchmark scATAC-Seq analysis methods II,Other,False,False,excluded_sample_type
SRX19264641,PRJNA930840,Notochord and axial progenitor generation by timely BMP and NODAL inhibition during vertebrate trunk formation (human),Other,False,False,non_lung
SRX19320094,PRJNA934551,Polycomb Repressive Complex 2 regulates basal cell fate during adult olfactory neurogenesism [scRNA-seq],Other,False,False,non_human
SRX19704117,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704118,PRJNA945854,CTD-ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704122,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704126,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704127,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704128,PRJNA945854,ILD/HP Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704139,PRJNA945854,Control Cell type-specific and disease-associated eQTL in the human lung,Control,True,True,
SRX19704142,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704143,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704144,PRJNA945854,NSIP Cell type-specific and disease-associated eQTL in the human lung,Other,False,False,unmapped_disease
SRX19704145,PRJNA945854,NSIP Cell type-specific and disease-associated eQTL in the human lung,Other,False,False,unmapped_disease
SRX19704147,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704148,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704149,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704150,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704151,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704152,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704156,PRJNA945854,IPAF Cell type-specific and disease-associated eQTL in the human lung,Other,False,False,unmapped_disease
SRX19704157,PRJNA945854,IPAF Cell type-specific and disease-associated eQTL in the human lung,Other,False,False,unmapped_disease
SRX19704158,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704159,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704160,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704161,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704162,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704164,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704165,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704166,PRJNA945854,ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704169,PRJNA945854,ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704170,PRJNA945854,ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704171,PRJNA945854,ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704179,PRJNA945854,Control Cell type-specific and disease-associated eQTL in the human lung,Control,True,True,
SRX19704180,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704181,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704186,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704187,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704188,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704193,PRJNA945854,ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704194,PRJNA945854,ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19704196,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704197,PRJNA945854,IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19704198,PRJNA945854,IPAF Cell type-specific and disease-associated eQTL in the human lung,Other,False,False,unmapped_disease
SRX19727428,PRJNA946652,mild COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727429,PRJNA946652,mild COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727430,PRJNA946652,mild COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727431,PRJNA946652,mild COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727432,PRJNA946652,moderate COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727434,PRJNA946652,moderate COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727435,PRJNA946652,moderate COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19727436,PRJNA946652,moderate COPD Single Cell RNA-Sequencing Identifies ferroptotic differences of alveolar macrophages in COPD,COPD,False,True,
SRX19730933,PRJNA934540,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],Other,False,False,unmapped_disease
SRX19730934,PRJNA934540,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],Other,False,False,unmapped_disease
SRX19730935,PRJNA934540,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],Other,False,False,unmapped_disease
SRX19730968,PRJNA934540,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [scRNA-seq],Other,False,False,unmapped_disease
SRX19836243,PRJNA950922,PHPF Gene expression profile at single cell level of human pulmonary arteries (PA) of 2 healthy and 3 pulmonary hypertension associated with pulmonary fibrosis (PFPH) affected lungs,IPF / Pulmonary Fibrosis,False,True,
SRX19836244,PRJNA950922,PHPF Gene expression profile at single cell level of human pulmonary arteries (PA) of 2 healthy and 3 pulmonary hypertension associated with pulmonary fibrosis (PFPH) affected lungs,IPF / Pulmonary Fibrosis,False,True,
SRX19836245,PRJNA950922,PHPF Gene expression profile at single cell level of human pulmonary arteries (PA) of 2 healthy and 3 pulmonary hypertension associated with pulmonary fibrosis (PFPH) affected lungs,IPF / Pulmonary Fibrosis,False,True,
SRX19844818,PRJNA945854,ILD ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19844819,PRJNA945854,ILD ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19844820,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844821,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844822,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844823,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844824,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844825,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844828,PRJNA945854,Control Control Cell type-specific and disease-associated eQTL in the human lung,Control,True,True,
SRX19844830,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844831,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844832,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844833,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844834,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844835,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844836,PRJNA945854,ILD ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19844837,PRJNA945854,ILD ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19844838,PRJNA945854,ILD ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19844839,PRJNA945854,ILD ILD Cell type-specific and disease-associated eQTL in the human lung,Interstitial Lung Disease,False,True,
SRX19844846,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844848,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19844849,PRJNA945854,IPF IPF Cell type-specific and disease-associated eQTL in the human lung,IPF / Pulmonary Fibrosis,False,True,
SRX19886022,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886023,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886025,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886027,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886028,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886029,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886030,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886031,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886032,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886033,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886034,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886035,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886037,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886039,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886040,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886042,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886043,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886044,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886045,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886046,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886047,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886049,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX19886050,PRJNA952672,scRNA-seq data for H-23 and H-358 cells traced under using customized barcode,Other,False,False,unmapped_disease
SRX20098024,PRJNA961720,Cryobiopsy: A Breakthrough Strategy for Clinical Utilization of Lung Cancer Organoids,Lung Cancer,False,False,excluded_sample_type
SRX20221194,PRJNA967233,Aberrant differentiation of epithelial progenitors is accompanied by a hypoxic microenvironment in the paraquat-injured human lung,Other,False,False,unmapped_disease
SRX20407493,PRJNA973717,Elevated Mast Cell Abundance is Associated with Enrichment of CCR2+ Cytotoxic T cells and Favorable Prognosis in Lung Adenocarcinoma,Lung Cancer,False,True,
SRX20407494,PRJNA973717,Elevated Mast Cell Abundance is Associated with Enrichment of CCR2+ Cytotoxic T cells and Favorable Prognosis in Lung Adenocarcinoma,Lung Cancer,False,True,
SRX20407496,PRJNA973717,Elevated Mast Cell Abundance is Associated with Enrichment of CCR2+ Cytotoxic T cells and Favorable Prognosis in Lung Adenocarcinoma,Lung Cancer,False,True,
SRX20407497,PRJNA973717,Elevated Mast Cell Abundance is Associated with Enrichment of CCR2+ Cytotoxic T cells and Favorable Prognosis in Lung Adenocarcinoma,Lung Cancer,False,True,
SRX20407498,PRJNA973717,Elevated Mast Cell Abundance is Associated with Enrichment of CCR2+ Cytotoxic T cells and Favorable Prognosis in Lung Adenocarcinoma,Lung Cancer,False,True,
SRX20407499,PRJNA973717,Elevated Mast Cell Abundance is Associated with Enrichment of CCR2+ Cytotoxic T cells and Favorable Prognosis in Lung Adenocarcinoma,Lung Cancer,False,True,
SRX20612052,PRJNA980643,Single cell multi-omic dissection of response and resistance to chimeric antigen receptor T cells against BCMA in relapsed multiple myeloma,Other,False,False,excluded_sample_type
SRX20970826,PRJNA993165,Single cell susceptibility to SARS-CoV-2 infection is driven by variable cell states [scRNA-Seq],COVID-19 / SARS-CoV-2,False,True,
SRX21203377,PRJNA1000503,fibrotic lung disease scRNA-seq analysis of biopsy tissue from Interstitial Lung Disease patients who took EGCG,Control,True,True,
SRX21256826,PRJNA1002309,Genome-Wide CRISPR Screen Identifies Multiple Synthetic Lethal Targets That Enhance KRAS (G12C) Inhibitor Efficacy [scRNA-seq],Other,False,False,excluded_sample_type
SRX21311407,PRJNA1003807,"scRNAseq of human blood, tonsil, lung and small intestine innate lymphoid cells",Other,False,False,excluded_sample_type
SRX21460097,PRJNA1008237,Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes,Lung Cancer,False,True,
SRX21460119,PRJNA1008237,Context-aware single-cell multiomics approach identifies cell-type specific lung cancer susceptibility genes,Lung Cancer,False,True,
SRX21808827,PRJNA1018509,Single-cell transcriptomic analysis (scRNA-seq) of healthy adult human parietal pleura,Other,False,False,unmapped_disease
SRX21808829,PRJNA1018509,Single-cell transcriptomic analysis (scRNA-seq) of healthy adult human parietal pleura,Other,False,False,unmapped_disease
SRX21808830,PRJNA1018509,Single-cell transcriptomic analysis (scRNA-seq) of healthy adult human parietal pleura,Other,False,False,unmapped_disease
SRX21808831,PRJNA1018509,Single-cell transcriptomic analysis (scRNA-seq) of healthy adult human parietal pleura,Other,False,False,unmapped_disease
SRX21808832,PRJNA1018509,Single-cell transcriptomic analysis (scRNA-seq) of healthy adult human parietal pleura,Other,False,False,unmapped_disease
SRX21808834,PRJNA1018509,Single-cell transcriptomic analysis (scRNA-seq) of healthy adult human parietal pleura,Other,False,False,unmapped_disease
SRX21897873,PRJNA1021137,single cell RNA-sequencing analysis of human SUV39H1-knockout CAR T compared to control CAR T cells (mock) in a xenograft model of lung adenocarcinoma,Lung Cancer,False,True,
SRX21897876,PRJNA1021137,single cell RNA-sequencing analysis of human SUV39H1-knockout CAR T compared to control CAR T cells (mock) in a xenograft model of lung adenocarcinoma,Lung Cancer,False,True,
SRX22130035,PRJNA1029622,Generation of expandable multipotential distal lung progenitors from human pluripotent stem cells that model idiopathic pulmonary fibrosis [scRNA-Seq],IPF / Pulmonary Fibrosis,False,False,excluded_sample_type
SRX22159982,PRJNA1030397,A high-resolution transcriptomic and spatial atlas of cell types in the whole mouse brain,Other,False,False,non_human
SRX22226492,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226494,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226496,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226498,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226500,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226502,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226504,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22226505,PRJNA1032112,Immediate myeloid depot for SARS-CoV-2 in the human lung,COVID-19 / SARS-CoV-2,False,True,
SRX22478206,PRJNA1037570,Cooperation between the Hippo and MAPK pathway activation drives acquired resistance to TEAD inhibition [multiome-seq],Other,False,False,non_lung
SRX22613094,PRJNA1044045,Farnesyltransferase inhibition overcomes the adaptive resistance to targeted therapies in oncogene-addicted non-small cell lung cancer,Lung Cancer,False,True,
SRX22613096,PRJNA1044045,Farnesyltransferase inhibition overcomes the adaptive resistance to targeted therapies in oncogene-addicted non-small cell lung cancer,Lung Cancer,False,True,
SRX22613098,PRJNA1044045,Farnesyltransferase inhibition overcomes the adaptive resistance to targeted therapies in oncogene-addicted non-small cell lung cancer,Lung Cancer,False,True,
SRX22613099,PRJNA1044045,Farnesyltransferase inhibition overcomes the adaptive resistance to targeted therapies in oncogene-addicted non-small cell lung cancer,Lung Cancer,False,True,
SRX22834774,PRJNA1050266,Predicting Antigen-Specificities of Orphan T Cell Receptors from Cancer Patients with TCRpcDist,Other,False,False,unmapped_disease
SRX22836420,PRJNA1050294,The iPSC-derived pulmonary epithilial cells in micro-patterned culture plate,Other,False,False,excluded_sample_type
SRX22996309,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996310,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996311,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996312,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996313,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996314,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996315,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996316,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996317,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996318,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996319,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996320,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996322,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996323,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996325,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996327,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996328,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996329,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996330,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996331,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996333,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996334,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996335,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
SRX22996336,PRJNA1055415,Single-cell RNA sequencing identifies dysregulated NOTCH3 signaling in tumor stroma of lung adenocarcinoma,Lung Cancer,False,True,
