srxAccession,cluster,nClusterCells,studyAccession,diseaseArea,diseased,nCells,proportion
SRX19836245,60,3,PRJNA950922,IPF / Pulmonary Fibrosis,True,66,0.045454545454545456
SRX19844813,10,1,PRJNA945854,Other,False,16,0.0625
SRX19844813,26,9,PRJNA945854,Other,False,16,0.5625
SRX19844813,34,2,PRJNA945854,Other,False,16,0.125
SRX19844813,60,1,PRJNA945854,Other,False,16,0.0625
SRX19844813,8,2,PRJNA945854,Other,False,16,0.125
SRX19844813,9,1,PRJNA945854,Other,False,16,0.0625
SRX19844814,24,4,PRJNA945854,Other,False,100,0.04
SRX19844814,26,4,PRJNA945854,Other,False,100,0.04
SRX19844814,34,2,PRJNA945854,Other,False,100,0.02
SRX19844814,44,1,PRJNA945854,Other,False,100,0.01
SRX19844814,66,1,PRJNA945854,Other,False,100,0.01
SRX19844814,8,3,PRJNA945854,Other,False,100,0.03
SRX19844814,9,85,PRJNA945854,Other,False,100,0.85
SRX19844815,13,1,PRJNA945854,Other,False,69,0.014492753623188406
SRX19844815,24,4,PRJNA945854,Other,False,69,0.057971014492753624
SRX19844815,26,9,PRJNA945854,Other,False,69,0.13043478260869565
SRX19844815,34,40,PRJNA945854,Other,False,69,0.5797101449275363
SRX19844815,36,4,PRJNA945854,Other,False,69,0.057971014492753624
SRX19844815,4,1,PRJNA945854,Other,False,69,0.014492753623188406
SRX19844815,44,2,PRJNA945854,Other,False,69,0.028985507246376812
SRX19844815,9,8,PRJNA945854,Other,False,69,0.11594202898550725
SRX19844816,24,2,PRJNA945854,Other,False,23,0.08695652173913043
SRX19844816,26,8,PRJNA945854,Other,False,23,0.34782608695652173
SRX19844816,34,5,PRJNA945854,Other,False,23,0.21739130434782608
SRX19844816,44,1,PRJNA945854,Other,False,23,0.043478260869565216
SRX19844816,8,6,PRJNA945854,Other,False,23,0.2608695652173913
SRX19844816,9,1,PRJNA945854,Other,False,23,0.043478260869565216
SRX19844817,0,1,PRJNA945854,Other,False,20,0.05
SRX19844817,26,4,PRJNA945854,Other,False,20,0.2
SRX19844817,34,1,PRJNA945854,Other,False,20,0.05
SRX19844817,36,1,PRJNA945854,Other,False,20,0.05
SRX19844817,8,1,PRJNA945854,Other,False,20,0.05
SRX19844817,9,12,PRJNA945854,Other,False,20,0.6
SRX19844818,0,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,17,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,24,5,PRJNA945854,Interstitial Lung Disease,True,50,0.1
SRX19844818,26,17,PRJNA945854,Interstitial Lung Disease,True,50,0.34
SRX19844818,31,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,32,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,34,2,PRJNA945854,Interstitial Lung Disease,True,50,0.04
SRX19844818,44,4,PRJNA945854,Interstitial Lung Disease,True,50,0.08
SRX19844818,45,3,PRJNA945854,Interstitial Lung Disease,True,50,0.06
SRX19844818,5,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,59,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,60,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844818,9,12,PRJNA945854,Interstitial Lung Disease,True,50,0.24
SRX19844819,1,1,PRJNA945854,Interstitial Lung Disease,True,56,0.017857142857142856
SRX19844819,20,2,PRJNA945854,Interstitial Lung Disease,True,56,0.03571428571428571
SRX19844819,24,12,PRJNA945854,Interstitial Lung Disease,True,56,0.21428571428571427
SRX19844819,26,15,PRJNA945854,Interstitial Lung Disease,True,56,0.26785714285714285
SRX19844819,34,4,PRJNA945854,Interstitial Lung Disease,True,56,0.07142857142857142
SRX19844819,36,3,PRJNA945854,Interstitial Lung Disease,True,56,0.05357142857142857
SRX19844819,44,1,PRJNA945854,Interstitial Lung Disease,True,56,0.017857142857142856
SRX19844819,45,2,PRJNA945854,Interstitial Lung Disease,True,56,0.03571428571428571
SRX19844819,60,1,PRJNA945854,Interstitial Lung Disease,True,56,0.017857142857142856
SRX19844819,7,1,PRJNA945854,Interstitial Lung Disease,True,56,0.017857142857142856
SRX19844819,8,4,PRJNA945854,Interstitial Lung Disease,True,56,0.07142857142857142
SRX19844819,9,10,PRJNA945854,Interstitial Lung Disease,True,56,0.17857142857142858
SRX19844820,13,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.037383177570093455
SRX19844820,14,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.009345794392523364
SRX19844820,20,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.056074766355140186
SRX19844820,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.009345794392523364
SRX19844820,24,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.056074766355140186
SRX19844820,26,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.028037383177570093
SRX19844820,34,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.028037383177570093
SRX19844820,44,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.028037383177570093
SRX19844820,66,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.018691588785046728
SRX19844820,8,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.009345794392523364
SRX19844820,9,77,PRJNA945854,IPF / Pulmonary Fibrosis,True,107,0.719626168224299
SRX19844821,1,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.007194244604316547
SRX19844821,13,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.02877697841726619
SRX19844821,14,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.007194244604316547
SRX19844821,20,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.02158273381294964
SRX19844821,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.007194244604316547
SRX19844821,24,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.050359712230215826
SRX19844821,26,12,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.08633093525179857
SRX19844821,31,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.007194244604316547
SRX19844821,34,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.050359712230215826
SRX19844821,36,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.014388489208633094
SRX19844821,44,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.02158273381294964
SRX19844821,45,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.04316546762589928
SRX19844821,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.007194244604316547
SRX19844821,60,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.007194244604316547
SRX19844821,66,52,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.37410071942446044
SRX19844821,8,8,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.05755395683453238
SRX19844821,9,29,PRJNA945854,IPF / Pulmonary Fibrosis,True,139,0.20863309352517986
SRX19844822,13,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.025974025974025976
SRX19844822,14,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,20,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,23,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,24,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,26,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.06493506493506493
SRX19844822,34,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.06493506493506493
SRX19844822,36,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.09090909090909091
SRX19844822,5,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,52,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,7,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,8,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.012987012987012988
SRX19844822,9,50,PRJNA945854,IPF / Pulmonary Fibrosis,True,77,0.6493506493506493
SRX19844823,1,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.02
SRX19844823,13,25,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.25
SRX19844823,14,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,20,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.02
SRX19844823,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,26,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.05
SRX19844823,31,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.04
SRX19844823,36,8,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.08
SRX19844823,45,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.03
SRX19844823,5,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,52,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,59,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,8,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.01
SRX19844823,9,44,PRJNA945854,IPF / Pulmonary Fibrosis,True,100,0.44
SRX19844824,20,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.038461538461538464
SRX19844824,24,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.038461538461538464
SRX19844824,26,9,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.34615384615384615
SRX19844824,31,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.038461538461538464
SRX19844824,43,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.07692307692307693
SRX19844824,45,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.038461538461538464
SRX19844824,9,11,PRJNA945854,IPF / Pulmonary Fibrosis,True,26,0.4230769230769231
SRX19844825,20,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.125
SRX19844825,24,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.0625
SRX19844825,26,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.25
SRX19844825,31,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.0625
SRX19844825,34,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.0625
SRX19844825,43,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.125
SRX19844825,44,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.1875
SRX19844825,45,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.0625
SRX19844825,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,16,0.0625
SRX19844828,1,1,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.007462686567164179
SRX19844828,14,5,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.03731343283582089
SRX19844828,17,1,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.007462686567164179
SRX19844828,20,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.014925373134328358
SRX19844828,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.007462686567164179
SRX19844828,24,3,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.022388059701492536
SRX19844828,26,1,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.007462686567164179
SRX19844828,31,1,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.007462686567164179
SRX19844828,34,3,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.022388059701492536
SRX19844828,36,9,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.06716417910447761
SRX19844828,38,8,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.05970149253731343
SRX19844828,4,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.014925373134328358
SRX19844828,43,3,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.022388059701492536
SRX19844828,44,3,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.022388059701492536
SRX19844828,45,7,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.05223880597014925
SRX19844828,5,5,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.03731343283582089
SRX19844828,59,5,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.03731343283582089
SRX19844828,7,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.014925373134328358
SRX19844828,8,58,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.43283582089552236
SRX19844828,9,14,PRJNA945854,IPF / Pulmonary Fibrosis,False,134,0.1044776119402985
SRX19844829,1,3,PRJNA945854,Other,False,29,0.10344827586206896
SRX19844829,14,1,PRJNA945854,Other,False,29,0.034482758620689655
SRX19844829,20,1,PRJNA945854,Other,False,29,0.034482758620689655
SRX19844829,26,3,PRJNA945854,Other,False,29,0.10344827586206896
SRX19844829,34,1,PRJNA945854,Other,False,29,0.034482758620689655
SRX19844829,36,15,PRJNA945854,Other,False,29,0.5172413793103449
SRX19844829,38,3,PRJNA945854,Other,False,29,0.10344827586206896
SRX19844829,8,2,PRJNA945854,Other,False,29,0.06896551724137931
SRX19844830,1,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.13636363636363635
SRX19844830,13,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,20,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,24,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,31,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,36,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.22727272727272727
SRX19844830,4,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.18181818181818182
SRX19844830,43,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,45,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844830,5,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.09090909090909091
SRX19844830,8,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,22,0.045454545454545456
SRX19844831,1,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.16666666666666666
SRX19844831,21,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.07142857142857142
SRX19844831,24,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.023809523809523808
SRX19844831,34,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.07142857142857142
SRX19844831,38,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.023809523809523808
SRX19844831,4,12,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.2857142857142857
SRX19844831,5,13,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.30952380952380953
SRX19844831,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.023809523809523808
SRX19844831,9,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,42,0.023809523809523808
SRX19844832,1,26,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.3880597014925373
SRX19844832,17,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.014925373134328358
SRX19844832,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.014925373134328358
SRX19844832,24,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.1044776119402985
SRX19844832,26,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.014925373134328358
SRX19844832,34,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.04477611940298507
SRX19844832,4,9,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.13432835820895522
SRX19844832,44,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.014925373134328358
SRX19844832,5,14,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.208955223880597
SRX19844832,6,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.029850746268656716
SRX19844832,8,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.014925373134328358
SRX19844832,9,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,67,0.014925373134328358
SRX19844833,1,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX19844833,13,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX19844833,14,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX19844833,17,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX19844833,20,15,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.12096774193548387
SRX19844833,21,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.016129032258064516
SRX19844833,23,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.03225806451612903
SRX19844833,24,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.04032258064516129
SRX19844833,26,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX19844833,31,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.056451612903225805
SRX19844833,34,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.03225806451612903
SRX19844833,36,23,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.18548387096774194
SRX19844833,38,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX19844833,4,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.016129032258064516
SRX19844833,43,8,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.06451612903225806
SRX19844833,44,14,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.11290322580645161
SRX19844833,45,18,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.14516129032258066
SRX19844833,5,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.04032258064516129
SRX19844833,59,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX19844833,7,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.008064516129032258
SRX19844833,9,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,124,0.024193548387096774
SRX19844834,0,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.029411764705882353
SRX19844834,13,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.029411764705882353
SRX19844834,14,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.058823529411764705
SRX19844834,24,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.058823529411764705
SRX19844834,26,13,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.38235294117647056
SRX19844834,34,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.17647058823529413
SRX19844834,36,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.11764705882352941
SRX19844834,44,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.029411764705882353
SRX19844834,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.029411764705882353
SRX19844834,9,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,34,0.08823529411764706
SRX19844835,1,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.05
SRX19844835,20,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.05
SRX19844835,26,11,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.55
SRX19844835,31,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.05
SRX19844835,34,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.1
SRX19844835,36,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.05
SRX19844835,44,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.1
SRX19844835,9,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,20,0.05
SRX19844836,13,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844836,20,3,PRJNA945854,Interstitial Lung Disease,True,50,0.06
SRX19844836,21,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844836,24,11,PRJNA945854,Interstitial Lung Disease,True,50,0.22
SRX19844836,26,10,PRJNA945854,Interstitial Lung Disease,True,50,0.2
SRX19844836,34,8,PRJNA945854,Interstitial Lung Disease,True,50,0.16
SRX19844836,36,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844836,43,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844836,44,7,PRJNA945854,Interstitial Lung Disease,True,50,0.14
SRX19844836,45,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844836,8,1,PRJNA945854,Interstitial Lung Disease,True,50,0.02
SRX19844836,9,5,PRJNA945854,Interstitial Lung Disease,True,50,0.1
SRX19844837,0,1,PRJNA945854,Interstitial Lung Disease,True,71,0.014084507042253521
SRX19844837,1,3,PRJNA945854,Interstitial Lung Disease,True,71,0.04225352112676056
SRX19844837,20,6,PRJNA945854,Interstitial Lung Disease,True,71,0.08450704225352113
SRX19844837,21,1,PRJNA945854,Interstitial Lung Disease,True,71,0.014084507042253521
SRX19844837,24,2,PRJNA945854,Interstitial Lung Disease,True,71,0.028169014084507043
SRX19844837,26,12,PRJNA945854,Interstitial Lung Disease,True,71,0.16901408450704225
SRX19844837,34,2,PRJNA945854,Interstitial Lung Disease,True,71,0.028169014084507043
SRX19844837,36,2,PRJNA945854,Interstitial Lung Disease,True,71,0.028169014084507043
SRX19844837,43,4,PRJNA945854,Interstitial Lung Disease,True,71,0.056338028169014086
SRX19844837,44,3,PRJNA945854,Interstitial Lung Disease,True,71,0.04225352112676056
SRX19844837,45,5,PRJNA945854,Interstitial Lung Disease,True,71,0.07042253521126761
SRX19844837,6,1,PRJNA945854,Interstitial Lung Disease,True,71,0.014084507042253521
SRX19844837,60,2,PRJNA945854,Interstitial Lung Disease,True,71,0.028169014084507043
SRX19844837,66,1,PRJNA945854,Interstitial Lung Disease,True,71,0.014084507042253521
SRX19844837,9,26,PRJNA945854,Interstitial Lung Disease,True,71,0.36619718309859156
SRX19844838,20,14,PRJNA945854,Interstitial Lung Disease,True,47,0.2978723404255319
SRX19844838,21,3,PRJNA945854,Interstitial Lung Disease,True,47,0.06382978723404255
SRX19844838,24,5,PRJNA945854,Interstitial Lung Disease,True,47,0.10638297872340426
SRX19844838,26,5,PRJNA945854,Interstitial Lung Disease,True,47,0.10638297872340426
SRX19844838,31,1,PRJNA945854,Interstitial Lung Disease,True,47,0.02127659574468085
SRX19844838,43,3,PRJNA945854,Interstitial Lung Disease,True,47,0.06382978723404255
SRX19844838,44,4,PRJNA945854,Interstitial Lung Disease,True,47,0.0851063829787234
SRX19844838,45,1,PRJNA945854,Interstitial Lung Disease,True,47,0.02127659574468085
SRX19844838,5,1,PRJNA945854,Interstitial Lung Disease,True,47,0.02127659574468085
SRX19844838,9,10,PRJNA945854,Interstitial Lung Disease,True,47,0.2127659574468085
SRX19844839,20,8,PRJNA945854,Interstitial Lung Disease,True,59,0.13559322033898305
SRX19844839,21,1,PRJNA945854,Interstitial Lung Disease,True,59,0.01694915254237288
SRX19844839,23,1,PRJNA945854,Interstitial Lung Disease,True,59,0.01694915254237288
SRX19844839,24,4,PRJNA945854,Interstitial Lung Disease,True,59,0.06779661016949153
SRX19844839,26,5,PRJNA945854,Interstitial Lung Disease,True,59,0.0847457627118644
SRX19844839,34,9,PRJNA945854,Interstitial Lung Disease,True,59,0.15254237288135594
SRX19844839,36,3,PRJNA945854,Interstitial Lung Disease,True,59,0.05084745762711865
SRX19844839,44,4,PRJNA945854,Interstitial Lung Disease,True,59,0.06779661016949153
SRX19844839,52,1,PRJNA945854,Interstitial Lung Disease,True,59,0.01694915254237288
SRX19844839,6,1,PRJNA945854,Interstitial Lung Disease,True,59,0.01694915254237288
SRX19844839,8,2,PRJNA945854,Interstitial Lung Disease,True,59,0.03389830508474576
SRX19844839,9,20,PRJNA945854,Interstitial Lung Disease,True,59,0.3389830508474576
SRX19844840,21,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,10,0.2
SRX19844840,34,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,10,0.2
SRX19844840,36,4,PRJNA945854,IPF / Pulmonary Fibrosis,False,10,0.4
SRX19844840,9,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,10,0.2
SRX19844841,45,1,PRJNA945854,Other,False,3,0.3333333333333333
SRX19844841,5,2,PRJNA945854,Other,False,3,0.6666666666666666
SRX19844842,34,2,PRJNA945854,IPF / Pulmonary Fibrosis,False,3,0.6666666666666666
SRX19844842,36,1,PRJNA945854,IPF / Pulmonary Fibrosis,False,3,0.3333333333333333
SRX19844843,26,3,PRJNA945854,Other,False,8,0.375
SRX19844843,36,3,PRJNA945854,Other,False,8,0.375
SRX19844843,5,1,PRJNA945854,Other,False,8,0.125
SRX19844843,9,1,PRJNA945854,Other,False,8,0.125
SRX19844844,17,1,PRJNA945854,Other,False,10,0.1
SRX19844844,26,1,PRJNA945854,Other,False,10,0.1
SRX19844844,34,1,PRJNA945854,Other,False,10,0.1
SRX19844844,4,1,PRJNA945854,Other,False,10,0.1
SRX19844844,44,1,PRJNA945854,Other,False,10,0.1
SRX19844844,5,1,PRJNA945854,Other,False,10,0.1
SRX19844844,9,4,PRJNA945854,Other,False,10,0.4
SRX19844845,1,1,PRJNA945854,Other,False,6,0.16666666666666666
SRX19844845,21,1,PRJNA945854,Other,False,6,0.16666666666666666
SRX19844845,26,2,PRJNA945854,Other,False,6,0.3333333333333333
SRX19844845,4,2,PRJNA945854,Other,False,6,0.3333333333333333
SRX19844846,1,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,24,0.125
SRX19844846,34,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,24,0.20833333333333334
SRX19844846,36,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,24,0.20833333333333334
SRX19844846,4,8,PRJNA945854,IPF / Pulmonary Fibrosis,True,24,0.3333333333333333
SRX19844846,5,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,24,0.125
SRX19844847,1,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,10,0.3
SRX19844847,20,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,10,0.1
SRX19844847,21,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,10,0.2
SRX19844847,24,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,10,0.2
SRX19844847,43,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,10,0.1
SRX19844847,9,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,10,0.1
SRX19844848,0,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,14,0.07142857142857142
SRX19844848,1,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,14,0.42857142857142855
SRX19844848,36,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,14,0.07142857142857142
SRX19844848,4,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,14,0.07142857142857142
